#;Country,_Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;SeriousCritical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;"Tests/ 
1M pop";Population
186;Eritrea;39;;;;39;0;;11;;;;3542992
187;Namibia;29;4;;;16;13;;11;;4588;1808;2537585
188;Antigua_and_Barbuda;26;;3;;20;3;1;266;31;246;2513;97875
189;Gambia;26;;1;;21;4;;11;0;1907;791;2411394
190;St._Vincent_Grenadines;26;;;;15;11;;234;;600;5409;110917
191;Timor-Leste;24;;;;24;0;;18;;1568;1191;1316620
192;Grenada;23;;;;22;1;2;204;;3516;31256;112489
193;Curaçao;21;;1;;15;5;;128;6;985;6004;16405
194;New_Caledonia;20;;;;18;2;;70;;7055;24727;285312
195;Belize;19;;2;;16;1;;48;5;1741;4384;397107
196;Laos;19;;;;18;1;;3;;7824;1076;7268147
197;Saint_Lucia;19;;;;18;1;;104;;1204;6559;183572
198;Dominica;18;;;;16;2;;250;;534;7419;71975
199;Fiji;18;;;;18;0;;20;;2431;2713;896014
200;Saint_Kitts_and_Nevis;15;;;;15;0;;282;;408;7673;53174
201;Falkland_Islands;13;;;;13;0;;3744;;535;15409;3472
202;Greenland;13;;;;13;0;;229;;2288;40307;56764
203;Turks_and_Caicos;12;;1;;11;0;;310;26;192;4964;38681
204;Vatican_City;12;;;;12;0;;14981;;;;801
205;Montserrat;11;;1;;10;0;;2204;200;61;1222;4992
206;Seychelles;11;;;;11;0;;112;;;;98307
207;MS_Zaandam;9;;2;;;7;;;;;;
208;Western_Sahara;9;;1;;6;2;;15;2;;;596227
209;British_Virgin_Islands;8;;1;;7;0;;265;33;167;5527;30218
210;Papua_New_Guinea;8;;;;8;0;;;;4646;520;8934719
211;Caribbean_Netherlands;7;;;;7;0;;267;;424;16179;26207
212;St._Barth;6;;;;6;0;;608;;137;13873;9875
213;Lesotho;4;;;;2;2;;2;;1515;708;2141116
214;Anguilla;3;;;;3;0;;200;;41;2734;14994
215;Saint_Pierre_Miquelon;1;;;;1;0;;173;;;;5796
